,Unnamed: 0,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
1,5,13995,2012.0,ford,f-150,good,6 cylinders,gas,188406.0,clean,automatic,4wd,full-size,truck,grey
2,6,7995,2010.0,chevrolet,equinox,good,4 cylinders,gas,108124.0,clean,automatic,4wd,full-size,SUV,grey
3,7,8995,2011.0,chevrolet,traverse,good,6 cylinders,gas,178054.0,clean,automatic,4wd,full-size,SUV,white
4,8,10995,2014.0,ford,explorer,good,6 cylinders,gas,170259.0,clean,automatic,4wd,full-size,SUV,white
5,9,12995,2004.0,ram,2500,good,6 cylinders,diesel,309621.0,clean,automatic,4wd,full-size,truck,custom
6,10,10995,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,210865.0,clean,automatic,4wd,full-size,truck,silver
7,11,12450,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,150959.0,clean,automatic,4wd,full-size,truck,blue
8,12,15995,2011.0,chevrolet,silverado 2500hd,good,8 cylinders,gas,223470.0,clean,automatic,4wd,full-size,truck,white
9,13,11995,2009.0,chevrolet,silverado 1500,good,8 cylinders,gas,170684.0,clean,automatic,4wd,full-size,truck,blue
10,15,10995,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,208016.0,clean,automatic,4wd,full-size,truck,white
11,16,9450,2008.0,chevrolet,silverado 1500,good,8 cylinders,gas,196913.0,clean,automatic,4wd,full-size,truck,blue
12,17,14995,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,102462.0,clean,automatic,4wd,full-size,truck,blue
14,28,9900,2003.0,chevrolet,silverado,good,8 cylinders,diesel,299000.0,clean,automatic,4wd,full-size,truck,grey
16,33,12984,2016.0,nissan,rogue,excellent,4 cylinders,gas,86942.0,clean,automatic,4wd,mid-size,SUV,blue
18,37,25730,2017.0,ford,explorer,excellent,6 cylinders,gas,49858.0,rebuilt,automatic,4wd,full-size,SUV,black
20,41,5295,2010.0,dodge,grand caravan,good,6 cylinders,gas,159000.0,clean,automatic,fwd,mid-size,mini-van,red
21,42,6295,2013.0,chevrolet,cruze lt,good,4 cylinders,gas,103000.0,clean,automatic,fwd,mid-size,sedan,white
25,58,4725,2012.0,toyota,camry le,good,4 cylinders,gas,262000.0,clean,automatic,fwd,mid-size,sedan,red
27,65,3900,2004.0,ford,f-150,good,8 cylinders,gas,156559.0,clean,automatic,rwd,full-size,pickup,blue
30,90,21500,2014.0,chevrolet,suburban,excellent,8 cylinders,gas,115000.0,clean,automatic,4wd,full-size,SUV,red
